video_id,link,account,desc,harmful,reasoning,day
7526520256983076118,https://www.tiktok.com/@temp/video/7526520256983076118,logs_a1,amore a chi? @asiabusciantellaa,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a personal or creative expression without harmful implications.",Friday
7525812011184295190,https://www.tiktok.com/@temp/video/7525812011184295190,logs_a1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Friday
7524716937830665494,https://www.tiktok.com/@temp/video/7524716937830665494,logs_a1,🙂‍↕️,not harmful,The description consists of only an emoji and does not indicate any harmful content based on the provided framework.,Friday
7525006109392882966,https://www.tiktok.com/@temp/video/7525006109392882966,logs_a1,HAHAHAHA. No.,not harmful,"The description ""HAHAHAHA. No."" does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a non-specific, humorous or dismissive statement.",Friday
7526478654096903447,https://www.tiktok.com/@temp/video/7526478654096903447,logs_a1,Dai ma stavo scherzando… 🥲 #funnyvideo #funnyvideos #funny #comic #funnymoments #couple #couplegoals #family #marriage #love #husband #wife #husbandandwife @Nicolò Mililli,not harmful,"The description suggests a humorous video involving a couple, with hashtags related to comedy and relationships. There is no indication of any harmful content such as disordered eating, self-harm, dangerous activities, or any other harmful categories listed.",Friday
7525712193053134088,https://www.tiktok.com/@temp/video/7525712193053134088,logs_a1,Playgrounds looks a bit dangerous these days 🤯 Would you try? 😳 #Squidgames #blender3d #netflix #squidgamenetflix #Cgi #VFX,harmful,"The description suggests that playgrounds are dangerous and implies a challenge or activity that could be risky, especially if it is related to the dangerous games depicted in ""Squid Game."" This could encourage minors to engage in unsafe behavior.",Friday
7526024193700367624,https://www.tiktok.com/@temp/video/7526024193700367624,logs_a1,Sono finito in ospedale.,not harmful,"The description ""Sono finito in ospedale"" (I ended up in the hospital) does not inherently fall under any of the harmful content categories listed. It lacks context to determine if it involves dangerous activities, self-harm, or any other harmful behavior. Without additional context indicating harm, it is not classified as harmful.",Friday
7525011363115109654,https://www.tiktok.com/@temp/video/7525011363115109654,logs_a1,Risposta a @matteogiusy84 #budspencer #ilioschiavone #buongiorno #filmclips,not harmful,"The description appears to reference a response to a user and includes hashtags related to Bud Spencer, a film character, and general greetings. There is no indication of harmful content such as disordered eating, self-harm, dangerous activities, or any other categories listed in the harmful content framework.",Friday
7524735038009707790,https://www.tiktok.com/@temp/video/7524735038009707790,logs_a1,Soulmates in every single lifetime🤍,not harmful,The description does not fall under any of the harmful content categories listed. It appears to be a positive or romantic sentiment without any indication of harmful themes.,Friday
7525415224392862998,https://www.tiktok.com/@temp/video/7525415224392862998,logs_a1,E le supercar mute #monopattino #supercar #elettrico,not harmful,"The description refers to electric scooters and supercars, which do not fall under any of the harmful content categories listed. It appears to be about transportation or vehicles, which is generally safe for all audiences.",Friday
7527270262698478870,https://www.tiktok.com/@temp/video/7527270262698478870,logs_a1,"Qualche mese fa Alina, 35 anni, si è imbattuta in un annuncio di lavoro pubblicato da una catena di supermercati per il ruolo di banconista. La proposta: impegno full time, 6 giorni a settimana (festivi compresi) per una retribuzione di 850 euro al mese. «Il mio compagno lavorava per questa realtà come vigilante. Faceva anche fino a 13 ore al giorno, per una p aga che non arrivava neanche a 1000 euro», racconta Alina a VD. Malgrado le condizioni inaccettabili, a quell'annuncio si è presentata, ma solo per incontrare di persona la direttrice del supermercato ed esprimere il proprio risentimento. «Dopo aver fatto quella piacevolissima chiacchierata con la direttrice, mi ha avvicinata una dipendente del centro commerciale, confermando le pessime condizioni a cui l’azienda sottopone i lavoratori». In Italia, nonostante una lieve ripresa, i salari reali restano ancora tra i più bassi in Europa rispetto ai livelli pre-pandemia. Secondo l’OCSE, nel primo trimestre del 2025 i salari italiani risultano inferiori del 7,5% rispetto al 2021 – uno dei cali più marcati tra i Paesi OCSE – mentre la media europea mostra segnali di recupero. Il collettivo @ultima.generazione ha lanciato una campagna nazionale che prevede il boicottaggio dei supermercati. L’obiettivo è raccogliere almeno 100.000 adesioni entro l’11 ottobre per avviare un’azione di massa che metta pressione economica sulla grande distribuzione organizzata e sul governo, e in particolare, che punta al taglio dell’IVA sui beni essenziali come pane e pasta. La campagna denuncia il crollo del potere d’acquisto e chiede «misure concrete per proteggere agricoltura, consumatori e ambiente, facendo pagare la transizione a chi ha maggiori risorse, come colossi fossili, GDO e grandi patrimoni». #lavoro #stipendi",not harmful,"The description discusses labor conditions, wages, and a campaign for economic change, which does not fall under any of the harmful content categories listed. It is focused on social and economic issues rather than promoting harmful behavior or content.",Friday
