video_id,link,account,desc,harmful,reasoning,day
7466438030002261270,https://www.tiktok.com/@temp/video/7466438030002261270,,Dieta chetogenica #chetosi#dietachetogenica#nutrizionista#nutrizione,not harmful,"The description discusses a ketogenic diet and includes hashtags related to nutrition and diet. It does not promote disordered eating or body image issues, nor does it fall under any other harmful content categories listed.",
7525482564522364182,https://www.tiktok.com/@temp/video/7525482564522364182,,"Perizoma Donna 12 Pezzi | Comodi e Traspiranti | Solo 9,23€! Testo: Scopri la nostra biancheria intima da donna in tinta unita, perfetta per ogni stagione! 12 pezzi di perizomi comodi e traspiranti, ideali per l’uso quotidiano. Prezzo incredibile: 9,23€! 🛒 Affrettati, 29.5K già venduti! Venduto da Wall Cat. Hashtag: #PerizomaDonna #BiancheriaIntima #ModaDonna #OffertaImperdibile #TikTokShop #StileQuotidiano #ComodoETraspirante",not harmful,"The description is promoting women's underwear, focusing on comfort and affordability. It does not contain any explicit or suggestive content, nor does it fall under any of the harmful content categories listed.",
7179230287287602438,https://www.tiktok.com/@temp/video/7179230287287602438,,🤪🥸,not harmful,The description consists of emojis that do not suggest any harmful content or fall under any of the specified harmful content categories.,
7125746944718195973,https://www.tiktok.com/@temp/video/7125746944718195973,,Play more games on my channel! #minigames #minigame #minispiel #tiktokgaming #tiktokgame #games #foryou #fypシ #minispiele #viral #basketballfrvr,not harmful,"The description promotes playing games, which does not fall under any of the harmful content categories listed. It is related to gaming content, which is generally suitable for all audiences, including minors.",
7310322353710451973,https://www.tiktok.com/@temp/video/7310322353710451973,,Dangerous jobs #views #cena #Nature #ship #ocean,not harmful,"The description does not explicitly promote or depict dangerous activities or challenges in a way that encourages viewers to engage in them. It appears to be a general reference to jobs that might be considered dangerous, without any indication of harmful content.",
7528391792278899990,https://www.tiktok.com/@temp/video/7528391792278899990,,ogni cosa hai i suoi pro e i suoi contro,not harmful,"The description ""ogni cosa hai i suoi pro e i suoi contro"" translates to ""everything has its pros and cons"" in English. This statement is neutral and does not fall under any of the harmful content categories listed.",
7484173564115995926,https://www.tiktok.com/@temp/video/7484173564115995926,,le conoscete? #trends #ballettiktok #ragazzeitaliane #girls #visual #aliceperego #lisaluchetta #zahide #camillamasato #fyp,not harmful,"The description appears to be promoting a dance trend or challenge, which is common on TikTok. It does not reference any harmful content categories such as disordered eating, self-harm, or dangerous activities.",
7491403583548591382,https://www.tiktok.com/@temp/video/7491403583548591382,,Trucchi del mestiere😌#neiperteee #vira #drinktok,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a general or lifestyle-related post.",
7462310616657644822,https://www.tiktok.com/@temp/video/7462310616657644822,,"Un film da “capogiro”, letteralmente. Da vedere su paramount plus ma credo che si possa trovare anche su Tik Tok diviso in parti. TRAMA: Quando due migliori amiche scalano una torre radio abbandonata e remota, una delle più alte degli Stati Uniti per un’acrobazia da social network, si ritrovano intrappolate a più di 600 metri di altezza. Cinema, consigli cinema, film, film da vedere, recensioni film. #film #cinema #thriller #consiglifilm #fall #davedere #recensioni #cinemalover #paramountplus",harmful,"The description promotes a film where characters engage in a dangerous activity (climbing a tall, abandoned radio tower) for social media stunts, which could encourage minors to imitate such risky behavior.",
7109539613584280838,https://www.tiktok.com/@temp/video/7109539613584280838,,1 modo per farlo impazzire in intimità #psicologiaitalia #psicologiapositiva #seduzione #attrazione #motivazione #autostima,not harmful,"The description appears to focus on psychological and motivational themes related to attraction and self-esteem, without explicit or suggestive content that would fall under the harmful categories.",
6877596990742580482,https://www.tiktok.com/@temp/video/6877596990742580482,,#duet with @rocketfuel69,not harmful,"The description ""#duet with @rocketfuel69"" does not inherently suggest any harmful content based on the provided framework. It simply indicates a collaborative video format on TikTok.",
7515741420045602070,https://www.tiktok.com/@temp/video/7515741420045602070,,#alcol #bere #perte,harmful,"The description includes references to alcohol, which can promote or normalize underage drinking, making it potentially harmful for minors.",
