video_id,link,account,desc,harmful,reasoning,day
7296111153678273825,https://www.tiktok.com/@temp/video/7296111153678273825,,Cosa si prova a vivere con un chirurgo plastico? La mia famiglia risponde #chirurgiapostbariatrica #chirurgiaplastica #chirurgiaestetica,not harmful,"The description discusses living with a plastic surgeon and includes hashtags related to plastic surgery. It does not promote disordered eating, body image issues, or any other harmful content categories.",
7483143172424568086,https://www.tiktok.com/@temp/video/7483143172424568086,,@yleanaaaa  #⚽️🏀🏐⚽️ #scommessecalcio #perte #planetwin365 #scommessa #fyp #foryouu #ludopatia,harmful,"The video description includes hashtags related to betting and gambling, which can be harmful content for minors as it promotes gambling behavior.",
7458262513440918806,https://www.tiktok.com/@temp/video/7458262513440918806,,ho perso 15 chili in soli 3 mesi mangiando #dimagrire #perderepeso #estateinforma #mammainforma #amarsi #piacersi #amati #cambiamenti #cambiamento #rimanereinforma  #dimagrire #dimagrirevelocemente #dimagriremangiando,harmful,"The description promotes rapid weight loss, which can encourage unhealthy eating habits and body image issues, especially among impressionable minors.",
7275057924051914030,https://www.tiktok.com/@temp/video/7275057924051914030,,currently getting flowers to make it up to her 😭😭😂😂😂 #coupleprank #couplegoals #prank #funny #sleepingonthecoach #prankingmygirlfriend #relationship #interracial #desi,not harmful,"The description suggests a light-hearted prank within a relationship, which does not fall under any of the harmful content categories listed. It appears to be intended for humor and entertainment without any indication of harmful behavior.",
7400080103746719009,https://www.tiktok.com/@temp/video/7400080103746719009,,L’amore vero per me è questo…🫶🏽❣️🌅 #love #mylove #lover #shoot,not harmful,The description appears to be about love and does not fall under any of the harmful content categories listed. It seems to be a positive expression of affection.,
7507659289356422422,https://www.tiktok.com/@temp/video/7507659289356422422,,"Kris Jenner ➡️ La “Momager” per eccellenza. Icona di resilienza e strategia, ha saputo trasformare la sua energia interiore in una forza anche estetica. 🎀 Si ipotizzano interventi come un lifting profondo, una blefaroplastica e trattamenti mirati per migliorare texture e qualità cutanea. Il risultato? Straordinariamente naturale e armonico. Voi cosa ne pensate del suo percorso di trasformazione estetica? Lasciate un commento qui sotto!👇👇👇 #KrisJenner #Momager #ChirurgiaEstetica #LiftingFacciale #Blefaroplastica #TrattamentiViso #SkincareAvanzata #BellezzaSenzaTempo #AntiAge #Ringiovanimento #EsteticaDiClasse #BeautyTransformation #IconaDiStile #CelebrityLook #CuraDellaPelle",not harmful,"The description discusses cosmetic procedures and skincare in a neutral and informative manner without promoting disordered eating, body image issues, or any other harmful content categories. It focuses on aesthetic transformation and invites opinions, which is not inherently harmful.",
7389897779604147489,https://www.tiktok.com/@temp/video/7389897779604147489,,😊👍 #precision #precisionchallenge #2 #precisionchallenge2 #game #tiktokgame #challenge #tiktokchallenge2024 #tiktokchallenge #tiktokfilter #filter #effect #tiktokeffect #trend #tiktoktrend #trending #fyp #fypシ #foryou #foryourpage #foryoupage #viral #viralvideo #blowthisup #pleasegoviral #filterchallenge #filtertrend #caglings36 #filters #newtrend #newtrending #newtrendchallenge #fypage,not harmful,"The description promotes a TikTok challenge involving a filter or effect, which does not fall under any of the harmful content categories listed. It appears to be a typical social media trend without any indication of dangerous or inappropriate content.",
7523294263795289366,https://www.tiktok.com/@temp/video/7523294263795289366,,#cloresrl #wholesale #stocks #underwear #нижнеебелье #luxury #biancheriaintima,not harmful,"The description appears to be related to wholesale and stock of underwear, which does not fall under any of the harmful content categories listed. It seems to be a business-related post without any indication of harmful content.",
7466174234088230166,https://www.tiktok.com/@temp/video/7466174234088230166,,#voliamoneiperte,not harmful,"The description ""#voliamoneiperte"" does not indicate any harmful content based on the provided framework. It does not reference any of the harmful categories such as disordered eating, self-harm, dangerous activities, or any other listed harmful content.",
7534094634469821718,https://www.tiktok.com/@temp/video/7534094634469821718,,"Scopri i 5 tsunami più devastanti della storia! In questo video, esploreremo gli eventi naturali che hanno lasciato un segno indelebile sul nostro pianeta, analizzando l'altezza degli tsunami e i danni stimati in euro. Dalla furia distruttiva dell'onda di Tōhoku nel 2011 ai catastrofici eventi di Sumatra nel 2004, ogni tsunami ha una storia da raccontare. Prepara la tua mente per un viaggio emozionante tra statistiche e racconti strazianti di resilienza. Non dimenticare di mettere un like e condividere il video! Unisciti a noi per conoscere questi eventi che hanno cambiato il corso della storia. #Tsunami #DisastriNaturali #giappone #2011 #terremoto #classifica",not harmful,"The video description discusses historical natural disasters, specifically tsunamis, and their impact. It focuses on educational content about natural events and does not fall under any of the harmful content categories listed.",
7506163301282237718,https://www.tiktok.com/@temp/video/7506163301282237718,,Într-un final… #fyp #fy #casino #plata #aparate #bucuresti,harmful,"The description includes hashtags related to a casino and gambling, which can be harmful content for minors as it promotes gambling activities.",
7224084683972168986,https://www.tiktok.com/@temp/video/7224084683972168986,,Le attività giornaliere pericolose....cambiare il prezzo a ChefLife #gamestop #gamestopemployee #gamestopitaly #gamestopworker #commesso #jaws #cheflife,not harmful,"The description refers to a video about daily activities related to changing prices in a game called ChefLife, which does not fall under any of the harmful content categories listed. It appears to be related to a work or gaming context, not promoting dangerous activities or challenges.",
7500547339354983702,https://www.tiktok.com/@temp/video/7500547339354983702,,Day 12 #simulation #airplane #planegame #gaming #casino,harmful,"The mention of ""casino"" suggests content related to gambling, which can be harmful to minors as it may promote gambling behavior.",
7236105466164645125,https://www.tiktok.com/@temp/video/7236105466164645125,,@ZipoliteOaxaca de ls mejores experiencias!! #playa #beach #tiktoksdeviajes #pequeñaviajera #viajerasmexicanas #vacaciones #goodvibes #mar #viajes #traveltiktok #zipolite #playanudista #nudebeach #travellife #beachvibes,harmful,"The description mentions ""playa nudista"" and ""nude beach,"" which suggests content related to nudity and body exposure, potentially making it inappropriate for minors.",
7528685120945966358,https://www.tiktok.com/@temp/video/7528685120945966358,,Blood Splashing effects VFX Green Screen Animation. #vfx #blood #effect #animation #greenscreensticker #greenscreenvideo #fyp #greenscreen,harmful,"The description suggests the video contains blood splashing effects, which can be considered graphic and potentially disturbing for minors.",
7470415804127792406,https://www.tiktok.com/@temp/video/7470415804127792406,,"Il primo bacio è quello intimo tra mamma e bambino subito dopo la nascita e poi rappresenta “nutrimento affettivo” durante tutta la crescita. Passerei le ore così, a baciarti tutta 🥺 #mom #mamma #neomamma #neonato #baci",not harmful,"The description discusses the affectionate bond between a mother and her newborn, which is a natural and nurturing aspect of parenting. It does not fall under any of the harmful content categories listed.",
7503623167622139158,https://www.tiktok.com/@temp/video/7503623167622139158,,🌪️ #dance #fyp #viral #trend #dc #trendingsound #trendingvideos #viralvideos #foryoupagе,not harmful,"The description contains hashtags related to dancing and trending content, with no indication of harmful content such as disordered eating, self-harm, dangerous activities, or any other categories listed in the harmful content framework.",
7498596231657098551,https://www.tiktok.com/@temp/video/7498596231657098551,,Cuerpos humanos reales🫀 ¡Última semana! #exhibition #museo #guatemala #medicina #guatemala🇬🇹,not harmful,"The description appears to be promoting an exhibition related to human anatomy or medical science, which is educational in nature. It does not fall under any of the harmful content categories listed.",
7181779872665160987,https://www.tiktok.com/@temp/video/7181779872665160987,,women with pcos🎀🎀🎀❤️,not harmful,"The description does not fall under any of the harmful content categories listed. It appears to be a supportive or informative mention of women with Polycystic Ovary Syndrome (PCOS), which is a medical condition.",
