video_id,link,account,desc,harmful,reasoning,day
7530357500676181270,https://www.tiktok.com/@temp/video/7530357500676181270,logs_a1,#mamma #thiago #fedesumo❣️ #bergamo,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a personal or family-related post, likely involving names or locations.",Saturday
7516622265094540566,https://www.tiktok.com/@temp/video/7516622265094540566,logs_a1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Saturday
7519981705139113238,https://www.tiktok.com/@temp/video/7519981705139113238,logs_a1,mamma se stai guardando questo video non ho fatto nulla 🙏🏻,not harmful,"The description is in Italian and translates to ""mom if you are watching this video I did nothing 🙏🏻"". It does not fall under any of the harmful content categories listed, as it does not suggest any harmful behavior or content.",Saturday
7516622265094540566,https://www.tiktok.com/@temp/video/7516622265094540566,logs_a1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Saturday
7527037708842159391,https://www.tiktok.com/@temp/video/7527037708842159391,logs_a1,why don’t u put that..😭😂 @therealempisle,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a humorous or light-hearted comment.",Saturday
7518799233026362646,https://www.tiktok.com/@temp/video/7518799233026362646,logs_a1,ASMR Sago Bowl #sago #mango #coconut Recipe link in bio.,not harmful,"The description is about an ASMR video featuring a sago bowl recipe, which does not fall under any of the harmful content categories listed. It is related to food and cooking, which is generally safe for all audiences.",Saturday
7518799233026362646,https://www.tiktok.com/@temp/video/7518799233026362646,logs_a1,ASMR Sago Bowl #sago #mango #coconut Recipe link in bio.,not harmful,"The description is about an ASMR video featuring a sago bowl recipe, which does not fall under any of the harmful content categories listed. It is related to food and cooking, which is generally safe for all audiences.",Saturday
7519981705139113238,https://www.tiktok.com/@temp/video/7519981705139113238,logs_a1,mamma se stai guardando questo video non ho fatto nulla 🙏🏻,not harmful,"The description is in Italian and translates to ""mom if you are watching this video I did nothing 🙏🏻"". It does not fall under any of the harmful content categories listed, as it does not suggest any harmful behavior or content.",Saturday
7520390110383312134,https://www.tiktok.com/@temp/video/7520390110383312134,logs_a1,New Dress rose vibes 🌹 stylist @ANNA LIMAZZI,not harmful,The description is about showcasing a new dress and credits a stylist. It does not fall under any of the harmful content categories listed.,Saturday
7519981705139113238,https://www.tiktok.com/@temp/video/7519981705139113238,logs_a1,mamma se stai guardando questo video non ho fatto nulla 🙏🏻,not harmful,"The description is in Italian and translates to ""mom if you are watching this video I did nothing 🙏🏻"". It does not fall under any of the harmful content categories listed, as it does not suggest any harmful behavior or content.",Saturday
7498789631937301782,https://www.tiktok.com/@temp/video/7498789631937301782,logs_a1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Saturday
7518799233026362646,https://www.tiktok.com/@temp/video/7518799233026362646,logs_a1,ASMR Sago Bowl #sago #mango #coconut Recipe link in bio.,not harmful,"The description is about an ASMR video featuring a sago bowl recipe, which does not fall under any of the harmful content categories listed. It is related to food and cooking, which is generally safe for all audiences, including minors.",Saturday
