video_id,link,desc,harmful,reasoning
7525774757346790678,https://www.tiktok.com/@temp/video/7525774757346790678,"⛔️ INFLUENCER DEL C@ZZO BASTA CON LE DIETE RESTRITTIVE 🛑 ✋ Io lotto per uno stile di vita sano, e vedo in giro solo diete miracolose! Invece che imparare. A mangiare qua si impara ad aver problemi. Tu come la pensi? #dieterestrictive #influencer #dietafallimentare #dietaketo #restrizionealimentare #business #influencermarketing",not harmful,"The video description criticizes restrictive diets and promotes a healthy lifestyle, which does not fall under any harmful content categories. It appears to be advocating against disordered eating rather than promoting it."
7525449725491957014,https://www.tiktok.com/@temp/video/7525449725491957014,"🥗 Dieta super restrittiva da mesi? All’inizio perdi peso… poi ti blocchi. 🔥 Il metabolismo si adatta, non bruci più, ti senti stanco, frustrato, e i risultati spariscono. ❌ Mangiare sempre meno NON è la soluzione. ✅ Nutrire il corpo è la chiave per sbloccarlo. 👉 Vuoi dimagrire davvero o solo rallentare tutto?",not harmful,This description discusses the negative effects of restrictive dieting and promotes a healthier approach to weight loss by emphasizing the importance of nourishing the body. It does not promote disordered eating or harmful body image practices.
7504627642956582166,https://www.tiktok.com/@temp/video/7504627642956582166,"Mi raccomando, non protraete queste diete così restrittive per troppo tempo e soprattutto fatevi sempre seguire da persone competenti!!🫶🏼 #fyp #foryou #perte #whatieatinaday #cosamangioinungiorno #diet #dieta #dietaketo #chetogenica",not harmful,"The description advises against prolonged restrictive dieting and encourages seeking guidance from competent individuals, which promotes healthy eating habits and does not fall under disordered eating or body image issues."
7514299779073969431,https://www.tiktok.com/@temp/video/7514299779073969431,"Ma quali sono le conseguenze di una dieta restrittiva? 🚫Esatto, la dieta, soprattutto se drastica ha degli effetti collaterali da non trascurare 👤Effetti sul corpo e sulla mente: 📍rallentamento metabolico, il corpo entra in modalità “risparmio energetico” e brucia meno kcal 📍perdita di massa muscolare: è un fattore da non trascurare, proprio perché perdendo muscolo si va ulteriormente a rallentare il metabolismo Infatri spesso quando si finisce la dieta si riprendono in fretta i kg persi con gli interessi 📍maggiore desiderio di carboidrati, dolce e salato: proprio perché sono la fonte privilegiata di energia per il corpo 📍pensiero costante rivolto al cibo, in particolare ai cibi di cui ci stiamo privando 📍maggiore rischio di abbuffate e perdita di controllo 📍incapacità di percepire i nostri segnali, in particolare la sazietà 📍senso di colpa, fallimento, frustrazione 👤🍒🍝Se non rispettiamo un bisogno primario come quello di nutrirci, il nostro corpo metterà in atto dei meccanismi di difesa, sia a livello fisico che psicologico! ⛓️‍💥Non c’entra la forza di volontà, sono meccanismi bene conosciuti, automatici che si ripetono ogni qualvolta che proviamo a chiudere l’alimentazione dentro regole rigide Un’alternativa gentile c’è! Non farti ingannare dall’ennesima dieta♥️🌸 #intuitiveeating #culturadelladieta #nutrizione #dimagrire #bilancia #peso #salute #kcal #giudizio #fameemotiva #mindfuleating #dietarestrittiva #dieta #nutrizionista #abbuffate",not harmful,"The video description discusses the negative consequences of restrictive dieting and promotes a healthier, more intuitive approach to eating. It does not encourage disordered eating or body image issues, but rather aims to educate and promote well-being."
7512159432353058070,https://www.tiktok.com/@temp/video/7512159432353058070,Replying to @Lisa Ballardin #disbiosi #intestinopermeabile #dietaantiinfiammatoria #infiammazioneintestinale #dietasana #senzazucchero #senzaglutine #senzalattosio #tiktokeducativo #fyp,not harmful,The video description appears to focus on dietary choices and health-related topics such as anti-inflammatory diets and avoiding certain ingredients. It does not fall under any of the harmful content categories listed.
7234447517163752730,https://www.tiktok.com/@temp/video/7234447517163752730,Hai difficoltà nel seguire una dieta? #dieta #biohacking Questo contenuto è solo un estratto e può essere decontestualizzato. Clicca sul link in bio per scoprire il video completo su questa tematica. Questo tipo di divulgazione non costituisce un consiglio medico e non deve sostituirsi al rapporto diretto tra medico e paziente.,not harmful,The description discusses dieting and biohacking but includes a disclaimer that it is not medical advice and emphasizes the importance of consulting a doctor. It does not promote disordered eating or harmful body image practices.
7441023632819686663,https://www.tiktok.com/@temp/video/7441023632819686663,"My carnivore diet journey 1 month in. I believe these before and after body reveals tell more of the story then my weight in the scales. I lost majority of the weight in the first 2 weeks but that didn’t mean the fat was still being burned off. Perhaps im packing on more muscle now? I don’t know, what do you think? #carnivorediet #beforeandafter",not harmful,The video description discusses a personal diet journey and body transformation without promoting disordered eating or negative body image. It does not fall under any harmful content categories listed.
7246645137130933531,https://www.tiktok.com/@temp/video/7246645137130933531,DIETE RESTRITTIVE COSA FANNO?🤔 #dieta #dietadimagrante #dietista #nutrizionista #perdipeso METTETE LIKE E SEGUITEMI ANCHE SUGLI ALTRI SOCIAL ⭐️👍💪,harmful,"The description promotes restrictive dieting, which can encourage disordered eating behaviors and negatively impact body image, especially among impressionable minors."
7265951551812848928,https://www.tiktok.com/@temp/video/7265951551812848928,"Luca è un bambino autistico, quando abbiamo avuto la diagnosi,mi sono messa a cercare tutte le cure alternative, e mi sono imbattuta in questa dieta, chiamata dieta GAPS! Una dieta molto restrittiva, dove vengono eliminati amidi, glutine, zuccheri, lieviti e latticini! Consentita tanta frutta e tanta verdura, uova, carne e pesce...integratori di spirulina, omega enzimi digestivi e probiotici.Luca era ancora piccolo, aveva 18 mesi, e dunque riuscivo a fargli mangiare senza problemi frullati, passati di verdura, pesce,  carne, frittate, era impressionante la quantità di frutta e verdura che mangiava! E i miglioramenti erano davvero evidenti,sia a livello comportamentale, sia a livello fisico, soprattutto il gonfiore enorme che aveva allo stomaco era sparito. Poi crescendo, partecipando a feste, compleanni, iniziando a frequentare l'asilo, purtroppo spesso non riuscivo a mantenere questa alimentazione pulita. E da lì ha iniziato ad essere sempre più selettivo nel mangiare, prediligendo i cibi che andavano ad alimentare i ""batteri intestinali cattivi"", dunque zuccheri e carboidrati. Adesso non mangia nessun tipo di verdura, se non nel minestrone e predilige la frutta, ma non tutta ovviamente. Mangia pasta rossa, riso giallo, pizza e wurstel e patatine nel sacchetto.Se cambiano confezione o forma, spesso non li mangia. Incontrare l'integrazione di Juiceplus per me è stata davvero una salvezza, in quanto riesco a fornirgli un'apporto giornaliero di fitonutrienti  derivati da 30 tipi di frutta e verdura! Andando a colmare il divario tra quello che dovrebbe mangiare e quello che mangia! L'alimentazione e la nutrizione corretta sono davvero una delle medicine più potenti che abbiamo sempre a disposizione! Quando questa viene meno, avere la possibilità di far mangiare ai mostri bimbi  un'integrazione naturale e gustosissima e addirittura in regalo è un grande privilegio. E i tuoi bimbi mangiano abbastanza frutta e verdura? 🥒🥬🍎🍇🍓🫐🫑 #autismo #integrazionenaturale #fruttaeverdura #juiceplustop #dietagaps #mangiafruttaeverdura #selettivitàalimentare",harmful,"The description promotes a highly restrictive diet (GAPS diet) for a child, which can be considered harmful as it may encourage disordered eating patterns and unrealistic dietary expectations, especially for impressionable audiences."
7506860766541417774,https://www.tiktok.com/@temp/video/7506860766541417774,Let’s talk about restrictive diets while struggling with BED,harmful,"Discussing restrictive diets in the context of Binge Eating Disorder (BED) can promote unhealthy eating behaviors and exacerbate disordered eating patterns, which is harmful, especially for minors."
7123129590582742278,https://www.tiktok.com/@temp/video/7123129590582742278,L’altro social: giada_gabbrielli_ #alimentazionesana #fiocchettolilla #allenamento #palestra #gymtokitalia #dietarestrittiva #abbuffate #dimagriremangiando #mangiaresano,harmful,"The hashtags #dietarestrittiva (restrictive diet) and #abbuffate (binges) suggest content related to disordered eating, which can promote unhealthy body image and eating habits."
