video_id,link,account,desc,harmful,reasoning,day
7531379138968538390,https://www.tiktok.com/@temp/video/7531379138968538390,logs_a1,Ciao bagni del @One.torino vi amo in un’altra vita nasco con un briciolo di vergogna #fyp #one #torino,not harmful,"The description does not reference any harmful content categories such as disordered eating, self-harm, dangerous activities, or any other listed harmful content. It appears to be a lighthearted or humorous statement about lacking shame, which does not pose a risk to minors.",Sunday
7532464411512933654,https://www.tiktok.com/@temp/video/7532464411512933654,logs_a1,Sono corsa via per non piangere lì davanti 😭 #laurea #tesi,not harmful,"The description does not fall under any of the harmful content categories. It appears to be an emotional reaction related to a graduation or thesis, which is not harmful.",Sunday
7533231674411601174,https://www.tiktok.com/@temp/video/7533231674411601174,logs_a1,"Un momento di svago si è trasformato in tragedia in un parco divertimenti dell’Arabia Saudita. A Taif, 23 persone sono rimaste ferite — quattro in gravi condizioni — dopo il crollo dell’attrazione “Game 360”, causato dalla rottura di un braccio meccanico. Il parco è stato chiuso e sono in corso le indagini per accertare le responsabilità.",harmful,"The description involves a tragic accident at an amusement park, resulting in injuries and potentially graphic content. This falls under the category of Shocking and Graphic Content, which can be distressing for minors.",Sunday
7531805140089670934,https://www.tiktok.com/@temp/video/7531805140089670934,logs_a1,Aiutatemiiii #fyp #viral #foryou,not harmful,"The description does not contain any explicit references to harmful content such as disordered eating, self-harm, dangerous activities, or any other categories listed in the harmful content framework. It appears to be a general call for help or attention, which is not inherently harmful.",Sunday
7531719408578874657,https://www.tiktok.com/@temp/video/7531719408578874657,logs_a1,"Un’improvvisa tromba d'aria ha seminato panico sulla spiaggia di Tropea, in Calabria. Un vortice si è formato rapidamente in mare e si è spinto verso la riva, sollevando spruzzi d’acqua e scatenando raffiche di vento lungo la battigia. Ombrelloni, teli e sdraio sono stati trascinati via dal fenomeno, provocando fughe disordinate e urla tra le persone presenti, che hanno cercato riparo in tutta fretta. Fortunatamente non si registrano feriti né danni alle strutture, solo tanta paura e qualche attimo di tensione #tropea",not harmful,"The description details a natural weather event (a waterspout) that caused panic but did not result in injuries or damage. It does not fall under any of the harmful content categories listed, as it is a factual report of an incident without graphic or dangerous content.",Sunday
7531386836267093270,https://www.tiktok.com/@temp/video/7531386836267093270,logs_a1,DONAZIONI PER RICOMPRARE I PANTALONI: link in bio ☠️☠️☠️☠️#funnytiktok #andiamoneiperte #videoviral #neipertee #amici #aestheticvibes #capcut,not harmful,"The description does not fall under any of the harmful content categories listed. It appears to be a humorous or lighthearted request for donations to buy new pants, which is not harmful to minors.",Sunday
7532105932562517270,https://www.tiktok.com/@temp/video/7532105932562517270,logs_a1,#perte #friends #voliamoneiperte,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a general or positive message about friendship.",Sunday
7532501194552380679,https://www.tiktok.com/@temp/video/7532501194552380679,logs_a1,"🧠 Se il tuo mignolo si muove liberamente in questa posizione, è un buon segno: il tuo cervello è sano! Fai questo esercizio per 30 secondi al giorno: stimola la neuroplasticità, migliora la coordinazione e può aiutare a prevenire l’Alzheimer. Ma attenzione: il vero nemico della salute mentale è lo stress cronico. Il tuo corpo, sotto stress continuo, produce cortisolo, l’ormone dello stress, che a lungo andare: ❌ Danneggia i neuroni (soprattutto quelli legati alla memoria) ❌ Riduce la neuroplasticità ❌ Indebolisce il sistema immunitario ❌ Favorisce grasso addominale e perdita di massa muscolare ❌ Aumenta il rischio di ansia, depressione e decadimento cognitivo La mente non può essere lucida se il corpo è in allerta costante. Il cortisolo è utile… ma solo in piccole dosi. Quando diventa cronico, corrode il cervello da dentro. 🔥 Vuoi sapere come abbassarlo naturalmente? Scrivimi NOSTRESS per avere gratuitamente  La Bibbia del Cortisolo , non qui ma su IG @sciaudone.matteo! #stress #benesserepsicologico #stiledivitasano #salute  #dimagrimento #fitness",not harmful,The description discusses stress management and promotes mental and physical health without mentioning any harmful activities or content. It does not fall under any of the harmful content categories listed.,Sunday
7532868256961432854,https://www.tiktok.com/@temp/video/7532868256961432854,logs_a1,"(✍🏻Cosimo Mazzotta) Ombrelloni piantati all’alba, teli e sedie lasciati a presidiare i posti migliori. Questa volta, però, la Guardia Costiera è intervenuta per porre fine all’abitudine dei “furbetti del posto in prima fila”, rimuovendo tutti gli oggetti lasciati incustoditi. L’occupazione abusiva di suolo demaniale marittimo può costare caro: multe fino a 200 euro e sequestri degli oggetti, oltre al rischio di denuncia per violazione del Codice della Navigazione. #torrelapillo #gallipoli #guardiacostiera #ombrelloni #spiaggia VideoIG di gianluca.rizzo.7543",not harmful,"The description discusses a common issue of people reserving beach spots with unattended items and the intervention by the Coast Guard. It does not fall under any of the harmful content categories listed, as it is more about enforcing regulations and does not promote or depict harmful behavior.",Sunday
7532900802801700118,https://www.tiktok.com/@temp/video/7532900802801700118,logs_a1,#perte #foryou #goviral #crocera #viral,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be generic hashtags aimed at increasing video visibility.",Sunday
