video_id,link,account,desc,harmful,reasoning,day
7529569334985788694,https://www.tiktok.com/@temp/video/7529569334985788694,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Sunday
7530990882141621526,https://www.tiktok.com/@temp/video/7530990882141621526,logs_c1,pronta per @Geolier 💙🥳 #perte #viralvideos #viralditiktok #neipertee #napoli #geolier #concerto,not harmful,The description appears to be about attending a concert and includes hashtags related to the event and location. It does not fall under any of the harmful content categories listed.,Sunday
7530962479418019094,https://www.tiktok.com/@temp/video/7530962479418019094,logs_c1,Gesù 1 - ADG 0,not harmful,"The description does not appear to fall under any of the harmful content categories listed. It seems to be a reference to a score or a comparison, which does not inherently suggest harmful content.",Sunday
7531178282771877151,https://www.tiktok.com/@temp/video/7531178282771877151,logs_c1,"Tonight, WWE remembers the legendary Hulk Hogan with a 10-bell salute.",not harmful,This description does not fall under any of the harmful content categories listed. It is a respectful tribute to a public figure and does not contain any content that would be considered harmful to minors.,Sunday
7530620774042881302,https://www.tiktok.com/@temp/video/7530620774042881302,logs_c1,betta la cozza 🧸#pescopaganoprovarepercredere #campoestivo2025,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a playful or humorous statement with hashtags related to a location and event.",Sunday
7531013545220132118,https://www.tiktok.com/@temp/video/7531013545220132118,logs_c1,♾️ aura. #perte #concerto #salerno #salernosound #lazza #summertour #piazzadellalibertà,not harmful,"The description appears to be promoting a concert or music event, with no indication of harmful content such as disordered eating, self-harm, dangerous activities, or any other categories listed in the harmful content framework.",Sunday
7530928044723146006,https://www.tiktok.com/@temp/video/7530928044723146006,logs_c1,#perteitalia #perteeee #viral #cameraindosordine 😒,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a general or humorous reference to a messy room.",Sunday
7530687453380824352,https://www.tiktok.com/@temp/video/7530687453380824352,logs_c1,Choose your favorite piece now. Order easily online at hcfurniture.nl 👨‍💻 Prefer to pick up or pay on delivery? Make an appointment via our WhatsApp customer service at +31 6 23406746 💬 🔗 Links in bio! #furniture #interior #homeoffice #safety #explore,not harmful,The description is promoting furniture sales and provides information on how to order or pick up items. It does not fall under any of the harmful content categories listed.,Sunday
7530463108331031838,https://www.tiktok.com/@temp/video/7530463108331031838,logs_c1,He was fine afterwards 🤣 day as a security guard #dogsoftiktok #fyp #nothingbeatsajet2holiday #security,not harmful,"The description does not indicate any content related to the harmful categories listed. It appears to be a lighthearted or humorous video involving a dog and a security guard, which does not pose a risk to minors.",Sunday
7530807033600232726,https://www.tiktok.com/@temp/video/7530807033600232726,logs_c1,Ij teng e paparell😂🦆#perte #foryou #papera,not harmful,"The description appears to be lighthearted and humorous, likely involving a duck (""papera"" in Italian). There is no indication of any harmful content based on the provided framework.",Sunday
7530580932210838806,https://www.tiktok.com/@temp/video/7530580932210838806,logs_c1,Turnina Mia❤️,not harmful,"The description ""Turnina Mia❤️"" does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a benign or affectionate statement.",Sunday
7530396718945406230,https://www.tiktok.com/@temp/video/7530396718945406230,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Could you please provide more details?",Sunday
7531394465085394208,https://www.tiktok.com/@temp/video/7531394465085394208,logs_c1,"🔴 Scoppio stanotte alle 21.49 in un locale pubblico in piazza a Tropea provocato forse dal troppo caldo. Le persone, sedute nel locale, scappano appena vedono il fuoco, provocato dallo scoppio di un contatore. A quanto si apprende non c'è nessun ferito.",not harmful,"The description reports an incident involving a fire caused by an explosion in a public place, but it explicitly states that there were no injuries. It does not fall under any of the harmful content categories listed, as it is a factual report of an event without graphic or shocking details.",Sunday
7530606199977413910,https://www.tiktok.com/@temp/video/7530606199977413910,logs_c1,E anche sta volta ho salvato l’estate dalla vostra hit estiva di sto cazzo 😅,not harmful,"The description does not fall under any of the harmful content categories listed. It appears to be a humorous or sarcastic comment about summer music hits, which is not harmful to minors.",Sunday
7531386836267093270,https://www.tiktok.com/@temp/video/7531386836267093270,logs_c1,DONAZIONI PER RICOMPRARE I PANTALONI: link in bio ☠️☠️☠️☠️#funnytiktok #andiamoneiperte #videoviral #neipertee #amici #aestheticvibes #capcut,not harmful,"The description appears to be humorous and related to a fundraising effort to buy new pants, which does not fall under any of the harmful content categories listed.",Sunday
7530651305312881942,https://www.tiktok.com/@temp/video/7530651305312881942,logs_c1,#viral_video #neiperte #fortnite #fortnitememes,not harmful,"The description contains hashtags related to a video game (Fortnite) and memes, which do not fall under any of the harmful content categories listed.",Sunday
7530420085698153750,https://www.tiktok.com/@temp/video/7530420085698153750,logs_c1,#thiago #bergamo #fedesumo❣️,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a simple use of hashtags and names, which is not inherently harmful.",Sunday
7529627982986611990,https://www.tiktok.com/@temp/video/7529627982986611990,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as 'harmful' or 'not harmful'. Please provide the description so I can assist you further.",Sunday
7529133017911037206,https://www.tiktok.com/@temp/video/7529133017911037206,logs_c1,"la ship storica resterà per sempre la vostra preferita, vero?💙@alicee",not harmful,"The description does not fall under any of the harmful content categories listed. It appears to be a benign statement about a favorite historical ship, likely referring to a fictional or entertainment context.",Sunday
7530298536441810198,https://www.tiktok.com/@temp/video/7530298536441810198,logs_c1,Lo sto addestrando bene😂,not harmful,"The description ""Lo sto addestrando bene😂"" translates to ""I'm training him well😂"" in English. It does not fall under any of the harmful content categories listed, as it does not suggest any disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a lighthearted or humorous statement.",Sunday
