Term,ZScore
pourtoi,-4.6290458511643235
straykids,-2.764865279201406
comedy,-2.6617489219090453
pasticceria,-2.242048565093527
capcut,-1.6645281686427629
ironia,-1.4446430457142532
commedia,-1.3577066317887105
foryoupage,-1.030561861487487
car,-0.9427409051499842
seguimisevuoi,-0.8693592592142032
humour,-0.8227233801553351
intelligenzaartificiale,-0.7929657941897454
learnfromkhaby,-0.7186905096209012
humor,-0.7148255979772281
prank,-0.7031338770107767
pastry,-0.6943591486133825
youmakestraykidsstay,-0.6943591486133825
dessert,-0.6943591486133825
dolci,-0.6943591486133825
스트레이키즈,-0.6943591486133825
patisserie,-0.6943591486133825
changbin,-0.6847519902359623
방찬,-0.6847519902359623
bangchan,-0.6847519902359623
창빈,-0.6847519902359623
andiamoneiperte,-0.6254669401388571
skibidichallenge,-0.5303933033548022
dc,-0.5303933033548022
help,-0.5303933033548022
relationship,-0.5303933033548022
amore,-0.5108785815343126
neiperteee,-0.5108785815343126
estate,-0.47535761830700696
acqua,-0.4670359325371541
trends,-0.4670359325371541
amiche,-0.3737830160303174
summer,-0.3737830160303174
ai,-0.306393082778424
janniksinner,-0.27873347971389334
viralvideo,-0.20888401456537706
pizza,-0.19625849248648952
gambegonfie,-0.19625849248648952
outfitdelgiorno,-0.19625849248648952
lifeguard,-0.19625849248648952
coscechesfregano,-0.19625849248648952
calisthenics,-0.19625849248648952
carabinieri,-0.19625849248648952
casa,-0.19625849248648952
consigli,-0.19625849248648952
consigliodasorea,-0.19625849248648952
outfitinspo,-0.16300428995396363
calcio,-0.1353798005401057
voliamoneiperte,-0.12972560899172136
jet2holidays,-0.09110682939789568
love,-0.07274656309814066
sarachehaipresotuttoelhaibuttatovia,-0.041114984898076606
parati,-0.027241355653500176
virale,0.027799992393589205
focaccia,0.10104352474725922
donnarumma,0.10104352474725922
capagna,0.10104352474725922
azul,0.10104352474725922
dannylazzarin,0.10104352474725922
concorsi,0.10104352474725922
militari,0.10104352474725922
pag,0.10104352474725922
motovlog,0.10104352474725922
gymmeme,0.10104352474725922
lidodeicarabinieri,0.10104352474725922
mt09,0.10104352474725922
