link,video_id,everyone-harmful,children-harmful,notes,,
adult,,,,,,
https://www.tiktok.com/@temp/video/7524044898320928022,7524044898320928022,no,yes,dangerous stunt,,"Disordered Eating and Body Image   Suicide and Self Harm  Dangerous Activity and Challenges  Mature Themes  Nudity and Body Exposure  Sexually Suggestive Content  Shocking and Graphic Content  Hate Speech or Behavior  Human Trafficking and Smuggling  Gambling  Alcohol, Tobacco, and Drugs  Integrity and Authencity  Harassment and Bullying"
https://www.tiktok.com/@temp/video/7525573634211990817,7525573634211990817,yes,yes,AI non disclosed,,
https://www.tiktok.com/@temp/video/7524661865750793494,7524661865750793494,no,yes,news about suicde,,
https://www.tiktok.com/@temp/video/7525041874961403138,7525041874961403138,no,no,prank,,
https://www.tiktok.com/@temp/video/7526635921509190935,7526635921509190935,yes,yes,eating disorder,,
https://www.tiktok.com/@temp/video/7525827413977140512,7525827413977140512,no,yes,news about violence,,
https://www.tiktok.com/@temp/video/7525881242726812950,7525881242726812950,no,yes,video (pre) suicide,,
https://www.tiktok.com/@temp/video/7524729889195347222,7524729889195347222,no,yes,stunt,,
https://www.tiktok.com/@temp/video/7525878898891017494,7525878898891017494,yes,yes,news about death youth,,
https://www.tiktok.com/@temp/video/7525901699786083606,7525901699786083606,yes,yes,joke about violence,,
https://www.tiktok.com/@temp/video/7524943634148478216,7524943634148478216,no,,REMOVED,,
https://www.tiktok.com/@temp/video/7526270520975789334,7526270520975789334,no,no,need more context,,
https://www.tiktok.com/@temp/video/7526263941396483350,7526263941396483350,no,no,slightly racist?,,
https://www.tiktok.com/@temp/video/7526122349804915990,7526122349804915990,yes,yes,body image,,
https://www.tiktok.com/@temp/video/7525190232023534870,7525190232023534870,yes,yes,pickpocket,,
https://www.tiktok.com/@temp/video/7527707383221521686,7527707383221521686,yes,yes,violent,,
https://www.tiktok.com/@temp/video/7524005368129752342,7524005368129752342,yes,yes,violent,,
https://www.tiktok.com/@temp/video/7531818494866836758,7531818494866836758,no,yes,violent,,
https://www.tiktok.com/@temp/video/7523193591708044566,7523193591708044566,yes,yes,"alcohol, not clear from the description (unsure how GPT did this lol)",,
https://www.tiktok.com/@temp/video/7531415896380771606,7531415896380771606,no,yes,body image,,
https://www.tiktok.com/@temp/video/7528729403703037206,7528729403703037206,no,yes,dangerous activity,,
https://www.tiktok.com/@temp/video/7531386677319847190,7531386677319847190,no,yes,violent language (impossible for GPT to identify it),,
https://www.tiktok.com/@temp/video/7526640068245753090,7526640068245753090,no,yes,violent image and stereotypes,,
https://www.tiktok.com/@temp/video/7525114797646449942,7525114797646449942,no,yes,joke,,
https://www.tiktok.com/@temp/video/7530266588931476758,7530266588931476758,no,yes,,,
https://www.tiktok.com/@temp/video/7532501688695983382,7532501688695983382,no,yes,,,
https://www.tiktok.com/@temp/video/7533655549611609367,7533655549611600000,no,yes,,,
search adult,,,,,,
https://www.tiktok.com/@temp/video/7246645137130933531,7246645137130933531,yes,yes,diet advice,,
https://www.tiktok.com/@temp/video/7506860766541417774,7506860766541417774,yes,yes,bing eating disorder,,
https://www.tiktok.com/@temp/video/7464921100137303298,7464921100137303298,yes,yes,drug for weight loss,,
https://www.tiktok.com/@temp/video/7377692112726297888,7377692112726297888,no,no,,,
https://www.tiktok.com/@temp/video/6920327799400123650,6920327799400123650,no,yes,,,
https://www.tiktok.com/@temp/video/7404395956147391761,7404395956147391761,yes,yes,violent challenge,,
https://www.tiktok.com/@temp/video/6921392991865228545,6921392991865228545,no,no,,,
https://www.tiktok.com/@temp/video/7515087693735283990,7515087693735283990,no,no,,,
https://www.tiktok.com/@temp/video/7522448994635615510,7522448994635615510,yes,yes,diet marketing,,
https://www.tiktok.com/@temp/video/7510956346385190166,7510956346385190166,no,no,,,
https://www.tiktok.com/@temp/video/7519457157436181782,7519457157436181782,no,no,,,
https://www.tiktok.com/@temp/video/7524346253841288470,7524346253841288470,no,no,song,,
https://www.tiktok.com/@temp/video/7512361167239564566,7512361167239564566,no,no,,,
https://www.tiktok.com/@temp/video/7514832830648667448,7514832830648667448,yes,yes,AI non disclosed,,
https://www.tiktok.com/@temp/video/7526770716977466679,7526770716977466679,yes,yes,AI non disclosed,,
https://www.tiktok.com/@temp/video/7307696561721494815,7307696561721494815,no,yes,casino,,
https://www.tiktok.com/@temp/video/7381960358648401183,7381960358648401183,no,yes,casino,,
https://www.tiktok.com/@temp/video/7113951307614014725,7113951307614014725,no,yes,casino,,
https://www.tiktok.com/@temp/video/7524269726965583126,7524269726965583126,no,yes,casino,,
https://www.tiktok.com/@temp/video/7509767009211583766,7509767009211583766,no,yes,gambling,,
https://www.tiktok.com/@temp/video/7284804889450941742,7284804889450941742,no,yes,addiction,,
https://www.tiktok.com/@temp/video/7213029818571721989,7213029818571721989,no,no,,,
https://www.tiktok.com/@temp/video/7446523583960026390,7446523583960026390,no,yes,,,
https://www.tiktok.com/@temp/video/7499836724701367574,7499836724701367574,no,yes,,,
https://www.tiktok.com/@temp/video/7515741420045602070,7515741420045602070,yes,yes,drinking disorder,,
children,,,,,,
https://www.tiktok.com/@temp/video/7530979068397784342,7530979068397784342,no,no,bungee jumping,,
https://www.tiktok.com/@temp/video/7530998554932825366,7530998554932825366,no,yes,sex related (gagging),,
https://www.tiktok.com/@temp/video/7533231674411601174,7533231674411601174,no,yes,accident leisure park news,,
https://www.tiktok.com/@temp/video/7525478611101502742,7525478611101502742,no,no,meme,,
https://www.tiktok.com/@temp/video/7525712193053134088,7525712193053134088,no,yes,SQUID game related,,
https://www.tiktok.com/@temp/video/7525764595445763350,7525764595445763350,no,yes,sex related,,
https://www.tiktok.com/@temp/video/7531304252568767766,7531304252568767766,no,no,news illegal activity,,
https://www.tiktok.com/@temp/video/7532044654527794454,7532044654527794454,no,no,news violent act,,
https://www.tiktok.com/@temp/video/7531421199528709398,7531421199528709398,no,no,,,
https://www.tiktok.com/@temp/video/7530281831581715734,7530281831581715734,no,no,dance,,
https://www.tiktok.com/@temp/video/7531848335192476950,7531848335192476950,no,no,,,
https://www.tiktok.com/@temp/video/7529203786896641302,7529203786896641302,no,no,,,
https://www.tiktok.com/@temp/video/7519800077242715414,7519800077242715414,no,no,political propaganda,,
https://www.tiktok.com/@temp/video/7528543754412838166,7528543754412838166,no,no,dead pigeon,,
https://www.tiktok.com/@temp/video/7529929351337348374,7529929351337348374,no,no,,,
https://www.tiktok.com/@temp/video/7530336010937437462,7530336010937437462,no,yes,spycam ad,,
https://www.tiktok.com/@temp/video/7519442047871274262,7519442047871274262,no,yes,gambling (german language),,
https://www.tiktok.com/@temp/video/7533329373630352662,7533329373630352662,no,yes,orgasm,,
https://www.tiktok.com/@temp/video/7529607407559920918,7529607407559920918,no,no,dating stuff,,
https://www.tiktok.com/@temp/video/7529869875464998166,7529869875464998166,no,yes,hate speech,,
https://www.tiktok.com/@temp/video/7531057443019836694,7531057443019836694,no,yes,dangerous stunt,,
https://www.tiktok.com/@temp/video/7529647037122366742,7529647037122366742,no,no,,,
https://www.tiktok.com/@temp/video/7533257429358857494,7533257429358857494,no,no,,,
https://www.tiktok.com/@temp/video/7533384463401684246,7533384463401684246,no,yes,dangerous activity,,
search children,,,,,,
https://www.tiktok.com/@temp/video/7497238138729876767,7497238138729876767,no,yes,diet (eng),,
https://www.tiktok.com/@temp/video/7480999692629740822,7480999692629740822,yes,yes,diet,,
https://www.tiktok.com/@temp/video/7500312114255416598,7500312114255416598,yes,yes,diet,,
https://www.tiktok.com/@temp/video/7526562321343253782,7526562321343253782,yes,yes,extreme diet,,
https://www.tiktok.com/@temp/video/7424548974671039776,7424548974671039776,no,yes,plastic surgery,,
https://www.tiktok.com/@temp/video/7484251141031660808,7484251141031660808,yes,yes,dangerous challenge,,
https://www.tiktok.com/@temp/video/7523351367012846870,7523351367012846870,no,no,challenge prevention,,
https://www.tiktok.com/@temp/video/7350377719894527262,7350377719894527262,no,no,challenge prevention,,
https://www.tiktok.com/@temp/video/7199644778131131654,7199644778131131654,no,no,challenge prevention,,
https://www.tiktok.com/@temp/video/7424838932812057889,7424838932812057889,no,no,challenge prevention,,
https://www.tiktok.com/@temp/video/7449092716434033943,7449092716434033943,no,yes,dangerous activity w label,,
https://www.tiktok.com/@temp/video/7181890581570931974,7181890581570931974,no,no,news dangerous activity,,
https://www.tiktok.com/@temp/video/7526669250795228438,7526669250795228438,no,yes,rage,,
https://www.tiktok.com/@temp/video/7528685120945966358,7528685120945966358,no,no,,,
https://www.tiktok.com/@temp/video/7388499345856810272,7388499345856810272,no,no,menstrual blood plants,,
https://www.tiktok.com/@temp/video/7526167574497856790,7526167574497856790,no,no,witness gambler,,
https://www.tiktok.com/@temp/video/7471580907594337558,7471580907594337558,no,no,gambling not harmful,,
https://www.tiktok.com/@temp/video/7516855735884565782,7516855735884565782,no,no,gambling not harmful,,
https://www.tiktok.com/@temp/video/7498811585343933718,7498811585343933718,no,no,gambling not harmful,,
https://www.tiktok.com/@temp/video/7520917355132718358,7520917355132718358,no,no,,,
https://www.tiktok.com/@temp/video/7512367388290157846,7512367388290157846,no,no,,,
https://www.tiktok.com/@temp/video/7180313738807905542,7180313738807905542,no,no,,,
https://www.tiktok.com/@temp/video/7509247677180267798,7509247677180267798,no,yes,alcohol,,
https://www.tiktok.com/@temp/video/7518006962731191574,7518006962731191574,no,yes,alcohol,,
https://www.tiktok.com/@temp/video/7244643307052191002,7244643307052191002,no,yes,alcohol,,
,,,,,,
,,,,,,
