video_id,final,gpt
7532208154524929302,no,no
7529607971307867447,yes,no
7526212982758575415,no,no
7531673034499837206,yes,no
7533569458548329750,no,no
7526278304085675286,yes,no
7525764595445763350,yes,yes
7533361070161874198,no,no
7531860491245800726,no,no
7532848173333810455,no,no
7532540325403970838,yes,no
7530587705231674646,no,no
7516615886258588950,yes,no
7532105932562517270,no,no
7531755225275763990,no,no
7526459933156478230,no,no
7533620398542310678,yes,no
7531730961151692054,yes,no
7518088307402722582,yes,no
7532546674804198678,no,no
7530306163804523798,yes,no
7533287854575750423,yes,no
7533219228753677573,yes,yes
7532815389860957462,no,no
7518799233026362646,no,no
7466438030002261270,yes,no
7525482564522364182,yes,no
7179230287287602438,yes,no
7125746944718195973,no,no
7528391792278899990,yes,no
7484173564115995926,yes,no
7491403583548591382,yes,no
7462310616657644822,no,yes
7109539613584280838,yes,no
6877596990742580482,no,no
7515741420045602070,yes,yes
7444252433737387286,no,no
7088294112385944838,no,no
7516855735884565782,no,yes
7527687400240254230,yes,yes
7387770845847997728,no,yes
7534636428534320406,no,no
7514299779073969431,no,no
7460491818732391702,no,no
7244169215295425819,yes,no
7526273344476286230,yes,yes
7147006134648311045,no,no
7302810829399805216,yes,no
7397108398703004961,yes,no
7499836724701367574,yes,yes
7526973477438459158,yes,no
7531071828878429462,no,no
7530259258202443030,no,no
7532077184995839254,no,no
7532922930603379990,no,no
7520297317203709206,no,no
7530534267160399126,no,no
7530807033600232726,no,no
7519981705139113238,yes,no
7503547470006226198,no,no
7525124927331044630,no,no
7532898336269962518,no,no
7532508942467960086,no,no
7532208700942077190,no,no
7527346617104551190,no,no
7526701516003020054,no,no
7529659133415525654,no,no
7533599474694884630,no,no
7532199191431613719,no,no
7530376607287086359,no,no
7531347646338862369,yes,no
7519826511478836536,no,no
7529247827004869920,no,no
7529854406465015062,no,no
7531304252568767766,no,no
7296111153678273825,no,no
7483143172424568086,yes,yes
7458262513440918806,yes,yes
7400080103746719009,yes,no
7507659289356422422,no,no
7389897779604147489,no,no
7523294263795289366,no,no
7466174234088230166,yes,no
7534094634469821718,no,no
7506163301282237718,yes,yes
7224084683972168986,no,no
7500547339354983702,yes,yes
7236105466164645125,no,yes
7528685120945966358,no,
7470415804127792406,no,
7503623167622139158,no,
7498596231657098551,no,
7181779872665160987,yes,
7434218291268160791,yes,
7519166988380278038,yes,
7527967112753679647,yes,
7525505003713219862,no,
7528421461162282262,no,
7527691460171418902,yes,
7405545761762463009,yes,
