video_id,link,harmful for adults,harmful for children
7532208154524929302,https://www.tiktok.com/@temp/video/7532208154524929302,vieni andiamo via io e tu dalla festaaa @domenicoespositooo_ @gioggy,no,no
7529607971307867447,https://www.tiktok.com/@temp/video/7529607971307867447,When you don’t know the rules,no,yes
7526212982758575415,https://www.tiktok.com/@temp/video/7526212982758575415,French toast #fyp #frenchie,no,no
7531673034499837206,https://www.tiktok.com/@temp/video/7531673034499837206,Non si può 🥹 #boymom,no,no
7533569458548329750,https://www.tiktok.com/@temp/video/7533569458548329750,Quando sei bionica e l’unico problema è che… ogni tanto spruzzi acqua dalla gamba. Letteralmente 💁🏼‍♀️ #bionic #resiliencia #disability #amputee #incidente #protesis,no,yes
7526278304085675286,https://www.tiktok.com/@temp/video/7526278304085675286,🛬,yes,yes
7525764595445763350,https://www.tiktok.com/@temp/video/7525764595445763350,mi sento male …,yes,yes
7533361070161874198,https://www.tiktok.com/@temp/video/7533361070161874198,Tratto da fatti realmente accaduti 🫣,yes,yes
7531860491245800726,https://www.tiktok.com/@temp/video/7531860491245800726,MAI E POI MAI HAHAHAH#foryou #viral,no,no
7532848173333810455,https://www.tiktok.com/@temp/video/7532848173333810455,Antonio&Valentina #temtationisland #antonioevalentina #gazebo #perte,no,no
7532540325403970838,https://www.tiktok.com/@temp/video/7532540325403970838,Abiti con la schiena scoperta per sempreeeeeeee,no,yes
7530587705231674646,https://www.tiktok.com/@temp/video/7530587705231674646,Scilla📍Tutorial : come si pianta l’ombrellone #calabria #scilla #mare #ombrellone #tutorial #massimobellantoni77,yes,yes
7516615886258588950,https://www.tiktok.com/@temp/video/7516615886258588950,Non me lo aspettavo😱 #challenge #filter,no,no
7532105932562517270,https://www.tiktok.com/@temp/video/7532105932562517270,#perte #friends #voliamoneiperte,no,no
7531755225275763990,https://www.tiktok.com/@temp/video/7531755225275763990,#tellingfriendswearedating#reaction,no,no
7526459933156478230,https://www.tiktok.com/@temp/video/7526459933156478230,Il vento non lo aiutava per niente 🤣@B A G U S,no,no
7533620398542310678,https://www.tiktok.com/@temp/video/7533620398542310678,Jesto ci ha lasciato a 40 anni. La notizia, confermata dal fratello, è arrivata oggi: «Nella notte del 31 luglio ci lascia Justin Jesto Rossi Yamanouchi, astro del rap italiano». Le cause non sono ancora note. #Jesto #rapitaliano #musica #rap #hiphop #musica #italia #outpump #perte,no,yes
7531730961151692054,https://www.tiktok.com/@temp/video/7531730961151692054,Chunky= paffutello, hope this helps 💓,no,no
7518088307402722582,https://www.tiktok.com/@temp/video/7518088307402722582,Still,no,no
7532546674804198678,https://www.tiktok.com/@temp/video/7532546674804198678,Lol einfach 3min gelabert hahahahha @melissa♡
7530306163804523798,https://www.tiktok.com/@temp/video/7530306163804523798,“Quando una cliente ti obbliga a tagliare una chioma da sogno… e alla fine il risultato è così bello che ti ricredi anche tu ✂️🔥 Il cuore piangeva, ma le forbici hanno fatto magia.” ✨ A volte il cambiamento spaventa… ma può sorprenderti! ✨ #HairTransformation #TaglioEstremo #CambioLook #ParrucchiereTikTok #CapelliTop #HairTok #BeforeAndAfter #TaglioCapelli #ColorePerfetto #HairDrama #StoriaVera #FidatiDelParrucchiere #LookDaUrlo #HairMagic,no,no
7533287854575750423,https://www.tiktok.com/@temp/video/7533287854575750423,Volano parolacce 😂😂 Criceta monella♥️ #masha #funnyvid #hamstersoftiktok #hamsters #maritomaltrattato #foryoupage❤️❤️ #foryouuuuuuuuuuuuu,no,no
7533219228753677573,https://www.tiktok.com/@temp/video/7533219228753677573,Мужчину, напавшего с ножом на байкера на АЗС в Мерке, приговорили к 11 годам и 3 месяцам лишения свободы Согласно данным Жамбылского областного суда, на территории автозаправочной станции мужчина подкрался сзади к байкеру и без весомой причины дважды ударил его ножом в спину и грудь. Хотя раны оказались неглубокими, действия квалифицировали как покушение на убийство. Уголовное дело рассматривалось по двум статьям: незаконное ношение холодного оружия и покушение на убийство, совершённое из хулиганских побуждений. Обвиняемый свою вину не признал. Прокуратура запрашивала 15 лет лишения свободы и штраф в размере 3,9 млн тенге. Потерпевшая сторона требовала максимального наказания и компенсацию в 11,3 млн тенге. Суд, учитывая наличие у подсудимого детей, назначил наказание в виде 11 лет и 3 месяцев лишения свободы. Кроме того, он обязан выплатить 1,8 млн тенге в качестве морального и материального ущерба. ❗️Уважаемые читатели! Если вы стали свидетелем какого-либо события или вам нужна информационная помощь, а также по вопросам рекламы и сотрудничества, вы можете написать по этому номеру: WhatsApp: +7 776 607 3142,no,yes
7532815389860957462,https://www.tiktok.com/@temp/video/7532815389860957462,Sempre noi che ci annoiamo quando stiamo al centro ortopedico @Össur #bionic #resiliencia #disability #amputee #incidente,no,no
7518799233026362646,https://www.tiktok.com/@temp/video/7518799233026362646,ASMR Sago Bowl #sago #mango #coconut Recipe link in bio.,no,no
search adult
7466438030002261270,https://www.tiktok.com/@temp/video/7466438030002261270,Dieta chetogenica #chetosi#dietachetogenica#nutrizionista#nutrizione,no,no
7525482564522364182,https://www.tiktok.com/@temp/video/7525482564522364182,Perizoma Donna 12 Pezzi | Comodi e Traspiranti | Solo 9,23€! Testo: Scopri la nostra biancheria intima da donna in tinta unita, perfetta per ogni stagione! 12 pezzi di perizomi comodi e traspiranti, ideali per l’uso quotidiano. Prezzo incredibile: 9,23€! 🛒 Affrettati, 29.5K già venduti! Venduto da Wall Cat. Hashtag: #PerizomaDonna #BiancheriaIntima #ModaDonna #OffertaImperdibile #TikTokShop #StileQuotidiano #ComodoETraspirante,no,yes
7179230287287602438,https://www.tiktok.com/@temp/video/7179230287287602438,🤪🥸,no,no
7125746944718195973,https://www.tiktok.com/@temp/video/7125746944718195973,Play more games on my channel! #minigames #minigame #minispiel #tiktokgaming #tiktokgame #games #foryou #fypシ #minispiele #viral #basketballfrvr,no,yes
7528391792278899990,https://www.tiktok.com/@temp/video/7528391792278899990,ogni cosa hai i suoi pro e i suoi contro,no,no
7484173564115995926,https://www.tiktok.com/@temp/video/7484173564115995926,le conoscete? #trends #ballettiktok #ragazzeitaliane #girls #visual #aliceperego #lisaluchetta #zahide #camillamasato #fyp,no,yes
7491403583548591382,https://www.tiktok.com/@temp/video/7491403583548591382,Trucchi del mestiere😌#neiperteee #vira #drinktok,no,yes
