video_id,views,collects,diggs,comments,shares
7526946789207903510,2200000,6206,225700,893,16900
7526943912662027542,3300000,9159,306400,3667,15100
7526510817370524950,11200000,16900,436400,4255,12200
7526615233520061718,3400000,3599,127800,2529,2087
7526536592266235158,16400000,74100,1900000,2214,36100
7526973477438459158,2200000,15500,303300,465,14500
7525573634211990817,46600000,140600,1500000,30900,412500
7526558288289303831,28400000,193700,2900000,24400,1400000
7526590499357052182,1500000,1563,70100,388,303
7525118386003627286,3500000,6025,221300,2784,11300
7525877803401907458,3600000,15500,376800,2342,51900
7526122349804915990,19000000,30100,453400,6514,161600
7527328321701481750,1500000,10000,175600,871,8839
7526101249452674326,2900000,33100,490000,1059,75100
7526220244042534166,2300000,8928,189300,2409,36100
7526278304085675286,10500000,20500,512100,3532,4924
7526570064632483094,4200000,23900,235200,671,17100
7526610866733681942,1700000,7508,111800,794,10100
7525592369954295042,1400000,9007,264900,536,4931
7526904281962679574,1857,10,184,25,5
7526811871643585814,87200,368,3598,1584,1244
7527334118410013974,182300,2224,2358,113,1871
7526960950197423416,548900,915,19400,403,289
7522926836096011542,17700,143,1649,89,61
7526924466249682198,5533,3,105,1,7
7525935755064102175,704600,652,11100,104,330
7517332662231502102,629600,852,13000,420,6977
7522506680563797270,4300000,4458,69900,210,6495
7516628859622526230,2027,4,76,22,1
7526167096946937110,579400,222,2415,9,138
7527348728328654103,8311,10,127,15,2
7526459933156478230,1200000,1540,70300,139,1537
7526274089372093718,2800000,42300,276900,1537,42200
7524427192508484886,54000,247,4780,54,174
7524027523265498390,2301,10,182,1,22
7499861716579224854,753900,3787,80700,440,607
7524783653126245654,256400,733,10300,368,144
7513382588657011990,1300000,5676,130900,287,2087
7525389535036083479,5096,8,330,9,12
7502506235149782294,275000,432,21100,7,78
7528016920642112824,421,1,44,0,2
7523748544004492566,2809,16,259,15,2
7526905575523814678,17300,65,1733,29,154
7498436592361540869,5781,10,382,0,5
7527320669508455686,891,2,26,1,1
7506605338414615830,50700,350,4842,90,295
7524384799755111702,1300000,8551,171000,421,20700
7513138796842568982,7603,7,405,0,58
7525802740962823446,2000000,13000,175100,1809,17600
7526112688666135830,1500000,10600,284800,619,10400
7525775639949937943,1500000,5007,104500,494,717
7524770156736744710,21300000,10500,202300,3123,4531
7519917205090323734,8100000,23800,596400,3786,7008
7526663027203034390,1400000,4601,68600,296,10100
7525794654189751574,1200000,4908,94200,1148,2007
7526482541109529878,1400000,2499,74100,732,7527
7524834361464851735,1500000,2985,111900,354,4911
7525193240166010135,1600000,3303,42000,570,2024
7527637221105503510,3800000,29500,710800,4831,44200
7526803072446762248,37500000,43700,756900,4640,14000
7526964038979341590,2300000,22600,342500,958,4628
7527691009958923542,3100000,23700,564700,1778,19400
7526995650865630486,1000000,4920,123300,833,3759
7527285348062235926,2000000,22900,432900,1196,21200
7525851208477576470,2100000,16500,93300,373,16800
7527646409038908694,1400000,4336,183500,216,939
7527346847669603606,1300000,11900,260400,948,14000
7525186909996322070,19300000,91800,2000000,9538,683100
7525489717232684310,1200000,3396,60200,203,794
7525768267659644182,1300000,4042,76500,172,455
7526969601960201494,10800000,41500,824300,3373,20200
7525945563888520470,1500000,8830,158700,1954,9992
7526635976454720790,5400000,10800,339600,2047,5338
7523193591708044566,3600000,11100,215200,1352,29700
7525679427515108630,1200000,633,20400,160,1226
7526627555739307286,2700000,13000,330300,1215,13900
7526499207184780566,1300000,4427,64200,333,3946
7526613231490600214,1600000,3846,106600,533,345
7526575559833406742,1400000,190,2752,8,50
7526876056326917398,2500000,23400,344600,2390,14100
7524745710844038422,2600000,1757,28200,333,875
7525861442889846038,1600000,5354,207800,394,5352
7525869783196110102,8900000,16500,447700,779,5878
7526959127499705622,1300000,926,39500,103,549
7526624733253733654,2000000,10800,156800,1076,3374
7526251206549736726,1400000,1562,78500,133,1964
7526490754290650390,1400000,7248,162600,1007,2796
7525132552395394336,7100000,43500,845700,1263,186000
7527299422841998614,1600000,3492,126500,527,10000
7527270262698478870,2800000,10000,217300,6838,7639
7526985216129387798,1800000,5673,102200,856,1589
7527308310496808194,3800000,8771,265100,862,4505
7526502130715217174,1400000,4053,57900,364,4931
7526638263625420054,1800000,13100,380600,2159,20300
7526185892407495958,2300000,4982,156800,1109,27300
7526917188314402050,37100000,168000,3600000,35700,2100000
7526091654718065942,2400000,9172,127400,1449,28400
7524367234261634326,9600000,6211,345900,1677,970
7526306988985224470,1200000,1323,18400,875,1671
7526212982758575415,43000000,442300,8400000,16000,3400000
7525146815579049238,1500000,3469,84000,1448,1620
7525447695784348983,45400000,217500,6400000,18400,68800
7527647849748663574,2600000,11100,173700,2058,2864
7524118947382168854,28300000,78900,1800000,3643,23700
7527392487661407511,1100000,2565,86400,117,1398
7527378888473758998,1600000,7319,144900,2439,1895
7526165788969946390,881900,1909,23500,355,3785
7525812463053442326,1300000,2307,56900,140,1042
7525904006972067094,15900000,26500,224400,1963,68600
7526324072964312342,871800,2785,91200,203,411
7519144265591819542,17400000,8445,192500,1025,3050
7525878898891017494,7400000,21500,287100,4828,27500
7526243780597681431,1700000,5041,177000,482,4181
7526184605410495766,1400000,4035,122300,510,7067
7526635921509190935,1100000,5479,154200,641,5185
7525218754989477142,1400000,3616,86800,1200,10400
7526646582368865558,22100000,95400,753600,3017,103800
7527347946677964054,2700000,6062,152100,829,748
7525892963512143126,5000000,33600,442700,2207,76200
7525712193053134088,42100000,23800,556200,3155,32800
7525764595445763350,1100000,9671,133300,571,9624
7525995255351594271,48600000,304500,5000000,36300,2000000
7527000433320021270,1500000,10400,196800,283,7506
7526676525752585494,1700000,2000,55100,1775,299
7526169451306192150,1500000,3915,44900,1803,4147
7525445462866873622,929600,1376,30500,107,2106
7525778837150387478,2100000,12400,233900,609,2141
7527307336709344534,2500000,6098,132900,5093,1656
7524390924558798082,16600000,76400,1200000,5503,35500
7525086385225698582,20900000,114300,1400000,7962,70400
7525439025319070998,17600000,53400,525700,6807,262800
7525507517217131798,1400000,4862,79900,210,9956
7525521942389067030,1200000,8860,213200,883,12800
7524658182518476087,22000000,68700,1000000,2617,23800
7525543183548173590,1600000,4090,119900,1164,1563
7526520256983076118,782000,1721,92500,123,3986
7525901699786083606,938100,3226,80100,246,25900
7525778068963691798,864600,2212,117400,38,467
7526517253626400022,1100000,6960,263200,595,9338
7527248004286270742,1500000,5241,129600,971,4941
7526533973892271382,1000000,1063,34300,204,1268
7524943634148478216,53100000,59300,615900,4475,21000
7526478654096903447,1100000,2356,100300,301,5181
7526024193700367624,1200000,8719,99900,1324,7754
7526879307596074262,954500,4033,75900,679,1702
7525415224392862998,15600000,68300,630900,6500,186700
7525812011184295190,943000,3791,133100,320,658
7526192185591516446,7100000,4492,79800,2623,15100
7525420534662728982,1500000,6259,130100,1195,1654
7526940516911516950,776900,2572,116400,734,6269
7527285463149743382,1300000,2520,131500,508,9236
7526029684937624854,30900000,270400,5800000,10800,605300
7525836718683999510,1600000,12000,190200,944,13800
7527346617104551190,1800000,5835,136200,2779,2332
7526545400707255574,883500,1095,53500,114,426
7524005214353968406,4600000,4424,99300,785,10500
7525503655491947798,22300000,15100,348600,3352,4841
7526667986103553302,2200000,3443,109200,769,1334
7526101764404219158,1800000,12500,313700,1161,3464
7521336825093311766,5400000,4835,100000,170,1653
7527302551788653846,2100000,6294,56900,2114,2209
7525124927331044630,946800,3532,123200,225,2337
7526935719412092182,3400000,2970,87700,306,994
7525180269142347030,749600,4723,74400,609,4300
7525190854688935198,70900000,360100,9100000,40000,425300
7526489778691345686,889300,2412,94500,85,8370
7527780614439767318,18200,135,1444,16,919
7527750837716782358,9488,40,636,0,54
7527697553752608022,44900,1411,5437,90,683
7527643277227543830,170900,638,13600,156,4027
7527383038716611862,2861,10,68,7,3
