video_id,views,collects,diggs,comments,shares
7526089595210009878,8600000,103100,1300000,5501,25500
7525374920298188054,6800000,9802,293100,1446,1055
7524292924507426078,169700000,221900,2200000,15800,781600
7525497634895711510,7200000,57400,735400,3498,266000
7524693906202660118,3300000,13400,342500,552,12200
7523246058491907350,4400000,6012,153300,514,2082
7524415474935893270,18000000,70400,1400000,6932,425000
7522514239014112534,4600000,8605,113000,545,4777
7524775660254989590,3200000,6202,245600,881,3657
7525378106174016824,51100000,299000,6900000,20500,1400000
7526210308453551382,3400000,16800,332700,3155,34500
7525159743791402262,2100000,3872,118500,1007,568
7525995841090276630,21600000,168900,2400000,9708,892000
7525422467616378135,2600000,9160,243000,391,22200
7524836677697817878,2900000,26100,319300,6770,18800
7525382852557475094,1900000,11300,156400,1096,23100
7525881242726812950,23200000,34500,397700,4978,25600
7524681313882836246,2300000,2043,105600,427,995
7525500481419021591,13000000,13800,627300,1325,7365
7525771619768306966,1700000,2834,93100,201,752
7526263941396483350,1900000,8549,206900,1023,12200
7525144376725589270,2100000,3086,199800,442,1481
7526165377357761814,2300000,2627,92800,214,4860
7525050398047030550,3500000,13300,384900,1655,6221
7524290275536063766,7300000,10200,135700,291,9867
7493857857083870497,6959,29,624,46,16
7517473695380540702,4370,10,181,1,8
7525765117477195030,989,14,107,1,6
7525795931141180727,13300,8,427,36,27
7525793376600427798,2199,8,322,1,9
7525233806333316374,2000000,5236,207500,173,4444
7525793072060337410,1800000,8693,196100,4768,1859
7525502735421164822,1800000,3794,114600,417,816
7524401381256465686,2400000,4598,65100,605,11100
7526135440949218582,1500000,3179,328700,634,3172
7522507818218360086,25800000,76100,1300000,11500,71100
7525052521291910422,8500000,6371,246600,464,1768
7525406297777261846,1800000,5045,89300,371,613
7524784757763312918,2400000,12500,291800,2686,51900
7526202804948536598,57900000,237900,5900000,12500,1800000
7524589178399558934,1300000,4260,177800,959,41100
7526231835630636310,19600000,14200,210600,1762,20100
7526234388783303958,6100000,5710,127100,387,4063
7524354696849460503,2300000,6519,100800,322,2700
7525875310387023126,3300000,4893,84200,1086,13600
7525871918826753302,1600000,2910,101600,4309,1312
7525969031724027158,2000000,14100,323300,3263,17400
7525214372327705878,1400000,1668,34200,113,3649
