video_id,views,collects,diggs,comments,shares
7525775639949937943,1400000,4738,98900,495,688
7524834361464851735,1400000,2842,106000,323,4677
7523695760970403094,2700000,22800,391100,2969,49500
7525592369954295042,1400000,8792,258700,530,4832
7524690589091138838,13700000,49600,1200000,4054,12900
7525499368191855894,2200000,2318,55100,713,2889
7524038294829632791,2100000,4631,137100,1208,1781
7523989465484856598,1800000,17600,237300,668,29900
7524046080091213078,14000000,29800,659500,6524,19400
7524020027301907734,9900000,9940,80000,3516,60300
7524293123791523094,1300000,10300,133400,1289,2113
7521701259653434646,3500000,6594,216200,2356,1980
7519917205090323734,7500000,22600,571700,3530,6614
7525146815579049238,1500000,3418,82800,1408,1610
7524377283117763862,2100000,27400,279500,2182,26400
7524507819203153157,19800000,26000,699200,14300,269700
7524377658268863766,1300000,4045,96500,1032,2504
7525193240166010135,1500000,2481,36500,529,1783
7522543187890588950,9100000,11900,421700,1154,8345
7524049576936951062,1800000,5080,107700,2055,17600
7523623852975361302,1800000,1890,55400,119,3051
7519144265591819542,15000000,7726,180200,919,2715
7524340642877672726,1800000,10600,167700,977,4443
7525044513677708546,1200000,6733,135300,231,33800
7524005803817274646,1100000,2577,79400,258,145
7524658182518476087,22000000,68700,1000000,2605,23700
7524390924558798082,15700000,71100,1100000,5253,32700
7524671734008614166,924500,390,2455,35,270
7525478091951492374,1500000,6104,234700,390,8227
7525444232161660182,1500000,2513,49300,455,1006
7524404281768971522,995300,2745,59500,1202,6262
7523566359486156054,4800000,20700,186600,2753,70400
7524783446485519638,1500000,2563,75700,5497,605
7525861442889846038,1600000,5201,201200,382,5163
7524680267118710038,1100000,2411,44700,103,966
7525126497594543382,1100000,8307,179300,439,8550
7523677548299996438,967300,5075,166700,258,9979
7524415316340854038,1200000,5343,156300,274,4865
7523945528053468418,2500000,6622,149400,3865,24900
7524264973665570070,1200000,3169,95900,639,1671
7523410669635505415,16400000,78600,2500000,12500,342500
7524005368129752342,1800000,4369,66100,1293,6021
7523652878947470614,1000000,3630,26300,70,9438
7522824592474311958,4700000,11200,332300,1098,1255
7525027529674083606,1500000,745,12600,0,2247
7524758573315001602,745200,4309,54100,179,6774
7524770156736744710,20500000,10100,194000,2999,4315
7525445462866873622,912700,1376,30000,107,2092
7524031359317347606,780100,5177,128000,249,9390
7525166366748364054,17200000,165800,1900000,6987,742200
7524735038009707790,28000000,152700,5100000,9222,175000
7524685177474354454,989600,8180,178300,2496,27300
7524044356874177815,39600000,300000,5900000,26100,1800000
7526185892407495958,2200000,4946,154300,1078,27100
7524023357168291094,1600000,17800,244900,439,14400
7525347278152944918,25000000,123800,2700000,5596,122000
7525475666658135318,2300000,5576,139600,3087,9224
7523870434933165334,824600,2569,74600,144,2580
